Date,Open,High,Low,Vol.,Change %
12/23/2020,216.98,219.5,216.22,5.86M,0.47%
12/22/2020,210.0,217.9,209.08,10.60M,3.23%
12/21/2020,213.0,214.4,206.5,9.87M,-1.38%
12/18/2020,213.14,214.48,210.24,9.05M,0.08%
12/17/2020,214.9,216.4,211.64,7.30M,-0.59%
12/16/2020,212.9,215.94,211.8,9.68M,1.48%
12/15/2020,210.12,214.48,207.32,10.26M,0.10%
12/14/2020,206.0,212.8,205.28,14.16M,3.23%
12/11/2020,200.54,205.52,200.54,11.52M,1.69%
12/10/2020,197.8,201.4,197.5,7.33M,1.95%
12/09/2020,198.5,201.22,196.78,14.88M,-0.52%
12/08/2020,196.98,200.0,196.04,13.50M,0.95%
12/07/2020,192.28,198.98,191.1,14.71M,2.11%
12/04/2020,191.92,193.56,189.02,11.46M,0.72%
12/03/2020,192.42,194.9,189.26,26.78M,-1.93%
12/02/2020,196.3,203.5,193.2,17.10M,-0.80%
12/01/2020,193.94,198.2,193.02,6.92M,1.93%
11/30/2020,197.98,198.46,191.24,15.52M,-2.90%
11/27/2020,196.84,199.48,196.1,3.26M,0.63%
11/26/2020,194.5,198.22,193.98,5.24M,1.38%
11/25/2020,193.98,195.6,191.7,4.53M,0.53%
11/24/2020,190.22,193.9,189.76,3.76M,1.63%
11/23/2020,191.5,193.9,188.7,5.16M,-0.52%
11/20/2020,191.5,192.2,189.76,2.86M,0.18%
11/19/2020,192.0,193.8,190.2,4.61M,-0.83%
11/18/2020,195.2,196.18,190.72,10.03M,-1.76%
11/17/2020,202.64,202.76,193.8,9.98M,-3.22%
11/16/2020,199.0,202.86,198.0,10.06M,2.46%
11/13/2020,192.7,198.52,192.7,5.43M,2.19%
11/12/2020,193.0,194.98,191.72,10.34M,-0.49%
11/11/2020,191.62,195.1,191.62,5.49M,1.05%
11/10/2020,192.34,193.1,190.38,5.79M,0.28%
11/09/2020,190.9,193.66,188.0,7.74M,1.26%
11/06/2020,186.0,189.58,184.0,7.80M,1.59%
11/05/2020,193.44,194.24,185.7,12.47M,-2.13%
11/03/2020,190.08,191.32,188.2,6.44M,1.28%
11/02/2020,185.1,189.24,183.24,7.04M,1.67%
10/30/2020,180.0,186.4,177.8,9.14M,2.22%
10/29/2020,179.44,182.5,177.36,5.98M,1.25%
10/28/2020,181.16,181.84,175.62,7.95M,-0.99%
10/27/2020,179.8,184.18,179.24,6.89M,0.55%
10/26/2020,179.88,181.0,178.02,4.78M,0.08%
10/23/2020,180.4,181.92,178.7,7.04M,-0.41%
10/22/2020,170.7,182.22,170.7,13.29M,5.27%
10/21/2020,172.86,173.34,170.4,4.43M,-0.65%
